Listing exchanges for vhost / ...
name	type
legaltags-changed.dlx	topic
amq.rabbitmq.trace	topic
amq.fanout	fanout
	direct
replaytopic.dlx	topic
replaytopicsubscription-exchange	topic
amq.match	headers
amq.topic	topic
dead-lettering-replay	topic
amq.direct	direct
osdu.dead-lettering-replay-subscription	topic
amq.headers	headers
osdu.dead-lettering-replay	topic
records-changed	topic
legaltags-changed	topic
osdu.records-changed	topic
replaytopic	topic
dead-lettering-replay-subscription	topic
osdu.replaytopicsubscription-exchange	topic
osdu.legaltags-changed	topic
